stdContract,stdSymbol
100000,USDCHF
100000,GBPUSD
100000,EURUSD
100000,USDJPY
100000,USDCAD
100000,EURGBP
100000,EURAUD
100000,EURCHF
100000,EURJPY
100000,GBPCHF
100000,CADJPY
100000,GBPJPY
100000,AUDNZD
100000,AUDCAD
100000,AUDCHF
100000,AUDJPY
100000,CHFJPY
100000,EURNZD
100000,EURCAD
100000,CADCHF
100000,NZDJPY
100000,NZDUSD
100000,AUDUSD
100000,GBPAUD
100000,GBPCAD
100000,GBPNZD
100000,NZDCAD
100000,NZDCHF
100000,USDSGD
10000,AUDSGD
10000,CHFSGD
10000,EURDKK
100000,EURNOK
100000,EURPLN
100000,EURSEK
100000,EURSGD
100000,EURTRY
10000,EURZAR
10000,GBPDKK
100000,GBPNOK
100000,GBPSEK
100000,GBPSGD
10000,GBPTRY
10000,NOKJPY
100000,NOKSEK
10000,SEKJPY
10000,SGDJPY
100000,USDCNH
10000,USDCZK
10000,USDDKK
100000,USDHKD
10000,USDHUF
100000,USDMXN
100000,USDNOK
100000,USDPLN
10000,USDRUB
100000,USDSEK
10000,USDTHB
100000,USDTRY
100000,USDZAR
10000,XAGEUR
5000,XAGUSD
10000,XAUEUR
100,XAUUSD
10000,XPDUSD
10000,XPTUSD
1000,XBRUSD
10000,XNGUSD
1000,XTIUSD
10000,XAUAUD
10000,XAUGBP
10000,XAUJPY
10000,XAUCHF
10000,XAGAUD
10000,EURHKD
