stdSymbol,IC Markets Ltd/IC Markets Group Ltd/IC Markets(KE) Limited/IC Markets(KY) Ltd/IC Markets(EU) Ltd/Raw Trading Ltd,TradeMax-Demo,AUS Commercial Limited,AxiTrader Limited,BCR Co Pty Ltd./BCR Co Limited,CPT Markets (Pty) Ltd/CPT Markets UK Limited,CWG Markets Ltd../CWG Markets Limited,Decode Global LLC/Decode Global Limited,Doo Prime Limited,Dragon Leader Services Limited,EBC Financial Group (Cayman) Limited,EC Markets Limited/EC Markets Group Ltd,Eightcap Ltd.,Eto Markets Limited,Exness Technologies Ltd/Exness B.V./Exness lnvestment Bank Limited/Exness Limited Jordan LLC/Exness(VG)Ltd,FP Markets LLC,Central Cleaning Ltd.,FXTRADING.com Pty Ltd,FXTM,Fortune Prime Global Ltd,Charlgate Ltd,Global Prime Pty Ltd,GO Markets International Ltd.,"GTC Global Trade Capital Co.,Limited",HF Markets(SV) Ltd.,HTFX VU Limited,Infinox Limited,JDR Securities Limited,KVB Prime Limited,Mohicans Markets Limited,Moneta Markets Limited,OEXN Limited,Royal ETP LLC,Orbex Global Ltd,Pepperstone Group Limited,STARTRADER International PTY Limited,Skilling Limited,SQ Sey Ltd,TF Global Markets(Aust) Pty Ltd,Tickmill Ltd/Tickmill Asia Ltd/Tickmill Europe Ltd/Tickmill UK Ltd,TradeMax Global Limited,Trive International Ltd.,VT Markets Pty Ltd,Valutrades(Seychelles)Limited,"Wetrade International Co.,Ltd/Wetrade Market Limited",XM Global Limited/XM International MU Limited
USDCHF,USDCHF,USDCHF,USDCHF,USDCHF/USDCHF.pro,USDCHF,USDCHF,USDCHFp,USDCHF/USDCHF.PRO,USDCHF,USDCHF,USDCHF,USDCHF,USDCHF/USDCHF.i,USDCHF,USDCHF,USDCHF/USDCHF.r,USDCHF,USDCHF/USDCHF.pro,USDCHF,USDCHF-E,USDCHF,USDCHF/USDCHF.i,USDCHF/USDCHF+,USDCHF,USDCHF/USDCHFr,USDCHF/USDCHF.,USDCHF+,USDCHF/USDCHF.PRO,USDCHF.p,USDCHFecn,USDCHF+,USDCHF.,USDCHF,USDCHF/USDCHF.,USDCHF,USDCHF+,USDCHF,USDCHF/USDCHF.x,USDCHF/USDCHFx,USDCHF,USDCHF,USDCHF/USDCHF.cent(1000),USDCHF-ECN,USDCHF,USDCHF,USDCHF/USDCHF#
GBPUSD,GBPUSD,GBPUSD,GBPUSD,GBPUSD/GBPUSD.pro,GBPUSD,GBPUSD,GBPUSD/GBPUSDp,GBPUSD/GBPUSD.PRO,GBPUSD,GBPUSD,GBPUSD,GBPUSD,GBPUSD/GBPUSD.i,GBPUSD,GBPUSD,GBPUSD/GBPUSD.r,GBPUSD,GBPUSD.pro,GBPUSD,GBPUSD/GBPUSD-E,GBPUSD,GBPUSD/GBPUSD.i,GBPUSD/GBPUSD+,GBPUSD,GBPUSD/GBPUSDr,GBPUSD/GBPUSD.,GBPUSD/GBPUSD+,GBPUSD/GBPUSD.PRO,GBPUSD/GBPUSD.p,GBPUSD/GBPUSDecn,GBPUSD/GBPUSD+,GBPUSD./GBPUSD(AUD),GBPUSD,GBPUSD/GBPUSD.,GBPUSD,GBPUSD/GBPUSD+,GBPUSD,GBPUSD/GBPUSD.x,GBPUSD/GBPUSDx,GBPUSD,GBPUSD,GBPUSD/GBPUSD.cent(1000),GBPUSD/GBPUSD-ECN,GBPUSD,GBPUSD,GBPUSD/GBPUSD#
EURUSD,EURUSD,EURUSD,EURUSD,EURUSD/EURUSD.pro,EURUSD,EURUSD,EURUSD/EURUSDp,EURUSD/EURUSD.PRO,EURUSD,EURUSD,EURUSD,EURUSD,EURUSD/EURUSD.i,EURUSD,EURUSD,EURUSD/EURUSD.r,EURUSD,EURUSD/EURUSD.pro,EURUSD,EURUSD/EURUSD-E,EURUSD,EURUSD/EURUSD.i,EURUSD/EURUSD+,EURUSD,EURUSD/EURUSDr,EURUSD/EURUSD.,EURUSD/EURUSD+,EURUSD/EURUSD.PRO,EURUSD/EURUSD.p,EURUSD/EURUSDecn,EURUSD/EURUSD+,EURUSD./EURUSD(AUD),EURUSD,EURUSD/EURUSD.,EURUSD,EURUSD/EURUSD+,EURUSD,EURUSD/EURUSD.x,EURUSD/EURUSDx,EURUSD,EURUSD,EURUSD/EURUSD.cent(1000),EURUSD/EURUSD-ECN,EURUSD,EURUSD,EURUSD/EURUSD#
USDJPY,USDJPY,USDJPY,USDJPY,USDJPY/USDJPY.pro,USDJPY,USDJPY,USDJPY/USDJPYp,USDJPY/USDJPY.PRO,USDJPY,USDJPY,USDJPY,USDJPY,USDJPY/USDJPY.i,USDJPY,USDJPY,USDJPY/USDJPY.r,USDJPY,USDJPY/USDJPY.pro,USDJPY,USDJPY/USDJPY-E,USDJPY,USDJPY/USDJPY.i,USDJPY/USDJPY+,USDJPY,USDJPY/USDJPYr,USDJPY/USDJPY.,USDJPY/USDJPY+,USDJPY/USDJPY.PRO,USDJPY/USDJPY.p,USDJPY/USDJPYecn,USDJPY/USDJPY+,USDJPY./USDJPY(AUD),USDJPY,USDJPY/USDJPY.,USDJPY,USDJPY/USDJPY+,USDJPY,USDJPY/USDJPY.x,USDJPY/USDJPYx,USDJPY,USDJPY,USDJPY/USDJPY.cent(1000),USDJPY/USDJPY-ECN,USDJPY,USDJPY,USDJPY/USDJPY#
USDCAD,USDCAD,USDCAD,USDCAD,USDCAD/USDCAD.pro,USDCAD,USDCAD,USDCADp,USDCAD/USDCAD.PRO,USDCAD,USDCAD,USDCAD,USDCAD,USDCAD/USDCAD.i,USDCAD,USDCAD,USDCAD/USDCAD.r,USDCAD,USDCAD/USDCAD.pro,USDCAD,USDCAD/USDCAD-E,USDCAD,USDCAD/USDCAD.i,USDCAD/USDCAD+,USDCAD,USDCAD/USDCADr,USDCAD/USDCAD.,USDCAD+,USDCAD.PRO,USDCAD.p,USDCADecn,USDCAD/USDCAD+,USDCAD.,USDCAD,USDCAD/USDJPY.,USDCAD,USDCAD/USDCAD+,USDCAD,USDCAD/USDCAD.x,USDCAD/USDCADx,USDCAD,USDCAD,USDCAD/USDCAD.cent(1000),USDCAD/USDCAD-ECN,USDCAD,USDCAD,USDCAD#
EURGBP,EURGBP,EURGBP,EURGBP,EURGBP/EURGBP.pro,EURGBP,EURGBP,EURGBPp,EURGBP.PRO,EURGBP,EURGBP,EURGBP,EURGBP,EURGBP/EURGBP.i,EURGBP,EURGBP,EURGBP.r,EURGBP,EURGBP/EURGBP.pro,EURGBP,EURGBP-E,EURGBP,EURGBP/EURGBP.i,EURGBP/EURGBP+,EURGBP,EURGBP/EURGBPr,EURGBP/EURGBP.,EURGBP+,EURGBP.PRO,EURGBP.p,EURGBPecn,EURGBP+,EURGBP.,EURGBP,EURGBP/EURGBP.,EURGBP,EURGBP+,EURGBP,EURGBP.x,EURGBP/EURGBPx,EURGBP,EURGBP,EURGBP/EURGBP.cent(1000),EURGBP-ECN,EURGBP,EURGBP,EURGBP/EURGBP#
EURAUD,EURAUD,EURAUD,EURAUD,EURAUD.pro,EURAUD,EURAUD,EURAUDp,EURAUD.PRO,EURAUD,EURAUD,EURAUD,EURAUD,EURAUD/EURAUD.i,EURAUD,EURAUD,EURAUD.r,EURAUD,EURAUD/EURAUD.pro,EURAUD,EURAUD-E,EURAUD,EURAUD/EURAUD.i,EURAUD/EURAUD+,EURAUD,EURAUD/EURAUDr,EURAUD/EURAUD.,EURAUD+,EURAUD.PRO,EURAUD.p,EURAUDecn,EURAUD+,EURAUD/EURAUD.,EURAUD,EURAUD/EURAUD.,EURAUD,EURAUD+,EURAUD,EURAUD.x,EURAUD/EURAUDx,EURAUD,EURAUD,EURAUD/EURAUD.cent(1000),EURAUD-ECN,EURAUD,EURAUD,EURAUD/EURAUD#
EURCHF,EURCHF,EURCHF,EURCHF,EURCHF.pro,EURCHF,EURCHF,EURCHFp,EURCHF.PRO,EURCHF,EURCHF,EURCHF,EURCHF(AUD),EURCHF/EURCHF.i,EURCHF,EURCHF,EURCHF.r,EURCHF,EURCHF/EURCHF.pro,EURCHF,EURCHF-E,EURCHF,EURCHF/EURCHF.i,EURCHF/EURCHF+,EURCHF,EURCHF/EURCHFr,EURCHF/EURCHF.,EURCHF+,EURCHF.PRO,EURCHF.p,EURCHFecn,EURCHF+,EURCHF/EURCHF.,EURCHF,EURCHF/EURCHF.,EURCHF,EURCHF+,EURCHF,EURCHF.x,EURCHF/EURCHFx,EURCHF,EURCHF,EURCHF/EURCHF.cent(1000),EURCHF-ECN,EURCHF,EURCHF,EURCHF/EURCHF#
EURJPY,EURJPY,EURJPY,EURJPY,EURJPY/EURJPY.pro,EURJPY,EURJPY,EURJPYp,EURJPY.PRO,EURJPY,EURJPY,EURJPY,EURJPY,EURJPY/EURJPY.i,EURJPY,EURJPY,EURJPY.r,EURJPY,EURJPY/EURJPY.pro,EURJPY,EURJPY-E,EURJPY,EURJPY/EURJPY.i,EURJPY/EURJPY+,EURJPY,EURJPY/EURJPYr,EURJPY/EURJPY.,EURJPY+,EURJPY.PRO,EURJPY.p,EURJPY/EURJPYecn,EURJPY+,EURJPY.,EURJPY,EURJPY/EURJPY.,EURJPY,EURJPY+,EURJPY,EURJPY.x,EURJPY/EURJPYx,EURJPY,EURJPY,EURJPY/EURJPY.cent(1000),EURJPY-ECN,EURJPY,EURJPY,EURJPY/EURJPY#
GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF.pro,GBPCHF,GBPCHF,GBPCHFp,GBPCHF.PRO,GBPCHF,GBPCHF,GBPCHF,GBPCHF,GBPCHF/GBPCHF.i,GBPCHF,GBPCHF,GBPCHF.r,GBPCHF,GBPCHF/GBPCHF.pro,GBPCHF,GBPCHF-E,GBPCHF,GBPCHF/GBPCHF.i,GBPCHF/GBPCHF+,GBPCHF,GBPCHF/GBPCHFr,GBPCHF/GBPCHF.,GBPCHF+,GBPCHF.PRO,GBPCHF.p,GBPCHFecn,GBPCHF+,GBPCHF.,GBPCHF,GBPCHF/GBPCHF.,GBPCHF,GBPCHF+,GBPCHF,GBPCHF.x,GBPCHF/GBPCHFx,GBPCHF,GBPCHF,GBPCHF/GBPCHF.cent(1000),GBPCHF-ECN,GBPCHF,GBPCHF,GBPCHF/GBPCHF#
